Short Code,Manufacturer Part Number,Description,Price
MDO6125,105200W-BB-PAS,"Medeco 1-1/2in Mortise Cylinder, Biaxial Patriot, Matte Black, Shared",136
MDO6126,100400HW-05-X3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Bright Brass, Bloomington",84
MDO6127,100400HW-05-Z3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Bright Brass, Mobile",102
MDO6128,100400HW-05-G3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Bright Brass, Shared",138
MDO6129,100400HW-05-PAS,"Medeco 1-1/8in Rim Cylinder, Biaxial Patriot, Bright Brass, Shared",124
MDO6130,100400HW-06-X3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Satin Brass, Bloomington",110
MDO6131,100400HW-06-Z3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Satin Brass, Mobile",115
MDO6132,100400HW-06-G3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Satin Brass, Shared",125
MDO6133,100400HW-06-PAS,"Medeco 1-1/8in Rim Cylinder, Biaxial Patriot, Satin Brass, Shared",118
MDO6134,100400HW-13-X3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Oil Rubbed Bronze, Bloomington",165
MDO6135,100400HW-13-Z3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Oil Rubbed Bronze, Mobile",130
MDO6136,100400HW-13-G3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Oil Rubbed Bronze, Shared",129
MDO6137,100400HW-13-PAS,"Medeco 1-1/8in Rim Cylinder, Biaxial Patriot, Oil Rubbed Bronze, Shared",102
MDO6138,100400HW-22-X3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Flat Black, Bloomington",96
MDO6139,100400HW-22-Z3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Flat Black, Mobile",130
MDO6140,100400HW-22-G3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Flat Black, Shared",121
MDO6141,100400HW-22-PAS,"Medeco 1-1/8in Rim Cylinder, Biaxial Patriot, Flat Black, Shared",192
MDO6142,100400HW-24-X3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Dark Bronze, Bloomington",157
MDO6143,100400HW-24-Z3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Dark Bronze, Mobile",113
MDO6144,100400HW-24-G3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Dark Bronze, Shared",88
MDO6145,100400HW-24-PAS,"Medeco 1-1/8in Rim Cylinder, Biaxial Patriot, Dark Bronze, Shared",144
MDO6146,100400HW-26-X3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Satin Chrome, Bloomington",116
MDO6147,100400HW-26-Z3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Satin Chrome, Mobile",88
MDO6148,100400HW-26-G3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Satin Chrome, Shared",158
MDO6149,100400HW-26-PAS,"Medeco 1-1/8in Rim Cylinder, Biaxial Patriot, Satin Chrome, Shared",178
MDO6150,100400HW-BB-X3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Matte Black, Bloomington",182
MDO6151,100400HW-BB-Z3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Matte Black, Mobile",193
MDO6152,100400HW-BB-G3S,"Medeco 1-1/8in Rim Cylinder, Biaxial, Matte Black, Shared",144
MDO6153,100400HW-BB-PAS,"Medeco 1-1/8in Rim Cylinder, Biaxial Patriot, Matte Black, Shared",114
MDO6154,100100T-05-FHS,"Medeco 1in Mortise Cylinder, M3, Bright Brass, Bloomington",161
MDO6155,100100T-05-FKS,"Medeco 1in Mortise Cylinder, M3, Bright Brass, Mobile",119
MDO6156,100100T-05-DXS,"Medeco 1in Mortise Cylinder, M3, Bright Brass, TRANS-Alarm",186
MDO6157,100100T-05-DHS,"Medeco 1in Mortise Cylinder, M3, Bright Brass, Minneapolis Lock",195
MDO6158,100100T-06-FHS,"Medeco 1in Mortise Cylinder, M3, Satin Brass, Bloomington",151
MDO6159,100100T-06-FKS,"Medeco 1in Mortise Cylinder, M3, Satin Brass, Mobile",110
MDO6160,100100T-06-DXS,"Medeco 1in Mortise Cylinder, M3, Satin Brass, TRANS-Alarm",113
MDO6161,100100T-06-DHS,"Medeco 1in Mortise Cylinder, M3, Satin Brass, Minneapolis Lock",82
MDO6162,100100T-13-FHS,"Medeco 1in Mortise Cylinder, M3, OIl Rubbed Bronze, Bloomington",200
MDO6163,100100T-13-FKS,"Medeco 1in Mortise Cylinder, M3, OIl Rubbed Bronze, Mobile",160
MDO6164,100100T-13-DXS,"Medeco 1in Mortise Cylinder, M3, OIl Rubbed Bronze, TRANS-Alarm",89
MDO6165,100100T-13-DHS,"Medeco 1in Mortise Cylinder, M3, OIl Rubbed Bronze, Minneapolis Lock",146
MDO6166,100100T-22-FHS,"Medeco 1in Mortise Cylinder, M3, Flat Black, Bloomington",130
MDO6167,100100T-22-FKS,"Medeco 1in Mortise Cylinder, M3, Flat Black, Mobile",94
MDO6168,100100T-22-DXS,"Medeco 1in Mortise Cylinder, M3, Flat Black, TRANS-Alarm",166
MDO6169,100100T-22-DHS,"Medeco 1in Mortise Cylinder, M3, Flat Black, Minneapolis Lock",147
MDO6170,100100T-24-FHS,"Medeco 1in Mortise Cylinder, M3, Dark Bronze, Bloomington",163
MDO6171,100100T-24-FKS,"Medeco 1in Mortise Cylinder, M3, Dark Bronze, Mobile",130
MDO6172,100100T-24-DXS,"Medeco 1in Mortise Cylinder, M3, Dark Bronze, TRANS-Alarm",147
MDO6173,100100T-24-DHS,"Medeco 1in Mortise Cylinder, M3, Dark Bronze, Minneapolis Lock",80
MDO6174,100100T-26-FHS,"Medeco 1in Mortise Cylinder, M3, Satin Chrome, Bloomington",134
MDO6175,100100T-26-FKS,"Medeco 1in Mortise Cylinder, M3, Satin Chrome, Mobile",174
MDO6176,100100T-26-DXS,"Medeco 1in Mortise Cylinder, M3, Satin Chrome, TRANS-Alarm",91
MDO6177,100100T-26-DHS,"Medeco 1in Mortise Cylinder, M3, Satin Chrome, Minneapolis Lock",198
MDO6178,100100T-BB-FHS,"Medeco 1in Mortise Cylinder, M3, Matte Black, Bloomington",190
MDO6179,100100T-BB-FKS,"Medeco 1in Mortise Cylinder, M3, Matte Black, Mobile",96
MDO6180,100100T-BB-DXS,"Medeco 1in Mortise Cylinder, M3, Matte Black, TRANS-Alarm",100
MDO6181,100100T-BB-DHS,"Medeco 1in Mortise Cylinder, M3, Matte Black, Minneapolis Lock",123
MDO6182,100200T-05-FHS,"Medeco 1-1/8in Mortise Cylinder, M3, Bright Brass, Bloomington",120
MDO6183,100200T-05-FKS,"Medeco 1-1/8in Mortise Cylinder, M3, Bright Brass, Mobile",191
MDO6184,100200T-05-DXS,"Medeco 1-1/8in Mortise Cylinder, M3, Bright Brass, TRANS-Alarm",175
MDO6185,100200T-05-DHS,"Medeco 1-1/8in Mortise Cylinder, M3, Bright Brass, Minneapolis Lock",85
MDO6186,100200T-06-FHS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Brass, Bloomington",146
MDO6187,100200T-06-FKS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Brass, Mobile",140
MDO6188,100200T-06-DXS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Brass, TRANS-Alarm",85
MDO6189,100200T-06-DHS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Brass, Minneapolis Lock",115
MDO6190,100200T-13-FHS,"Medeco 1-1/8in Mortise Cylinder, M3, OIl Rubbed Bronze, Bloomington",181
MDO6191,100200T-13-FKS,"Medeco 1-1/8in Mortise Cylinder, M3, OIl Rubbed Bronze, Mobile",92
MDO6192,100200T-13-DXS,"Medeco 1-1/8in Mortise Cylinder, M3, OIl Rubbed Bronze, TRANS-Alarm",163
MDO6193,100200T-13-DHS,"Medeco 1-1/8in Mortise Cylinder, M3, OIl Rubbed Bronze, Minneapolis Lock",180
MDO6194,100200T-22-FHS,"Medeco 1-1/8in Mortise Cylinder, M3, Flat Black, Bloomington",186
MDO6195,100200T-22-FKS,"Medeco 1-1/8in Mortise Cylinder, M3, Flat Black, Mobile",182
MDO6196,100200T-22-DXS,"Medeco 1-1/8in Mortise Cylinder, M3, Flat Black, TRANS-Alarm",173
MDO6197,100200T-22-DHS,"Medeco 1-1/8in Mortise Cylinder, M3, Flat Black, Minneapolis Lock",144
MDO6198,100200T-24-FHS,"Medeco 1-1/8in Mortise Cylinder, M3, Dark Bronze, Bloomington",90
MDO6199,100200T-24-FKS,"Medeco 1-1/8in Mortise Cylinder, M3, Dark Bronze, Mobile",190
MDO6200,100200T-24-DXS,"Medeco 1-1/8in Mortise Cylinder, M3, Dark Bronze, TRANS-Alarm",101
MDO6201,100200T-24-DHS,"Medeco 1-1/8in Mortise Cylinder, M3, Dark Bronze, Minneapolis Lock",165
MDO6202,100200T-26-FHS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Chrome, Bloomington",88
MDO6203,100200T-26-FKS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Chrome, Mobile",107
MDO6204,100200T-26-DXS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Chrome, TRANS-Alarm",144
MDO6205,100200T-26-DHS,"Medeco 1-1/8in Mortise Cylinder, M3, Satin Chrome, Minneapolis Lock",168
MDO6206,100200T-BB-FHS,"Medeco 1-1/8in Mortise Cylinder, M3, Matte Black, Bloomington",185
MDO6207,100200T-BB-FKS,"Medeco 1-1/8in Mortise Cylinder, M3, Matte Black, Mobile",131
MDO6208,100200T-BB-DXS,"Medeco 1-1/8in Mortise Cylinder, M3, Matte Black, TRANS-Alarm",130
MDO6209,100200T-BB-DHS,"Medeco 1-1/8in Mortise Cylinder, M3, Matte Black, Minneapolis Lock",102
MDO6210,100500T-05-FHS,"Medeco 1-1/4in Mortise Cylinder, M3, Bright Brass, Bloomington",164
MDO6211,100500T-05-FKS,"Medeco 1-1/4in Mortise Cylinder, M3, Bright Brass, Mobile",198
MDO6212,100500T-05-DXS,"Medeco 1-1/4in Mortise Cylinder, M3, Bright Brass, TRANS-Alarm",88
MDO6213,100500T-05-DHS,"Medeco 1-1/4in Mortise Cylinder, M3, Bright Brass, Minneapolis Lock",161
MDO6214,100500T-06-FHS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Brass, Bloomington",111
MDO6215,100500T-06-FKS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Brass, Mobile",123
MDO6216,100500T-06-DXS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Brass, TRANS-Alarm",167
MDO6217,100500T-06-DHS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Brass, Minneapolis Lock",155
MDO6218,100500T-13-FHS,"Medeco 1-1/4in Mortise Cylinder, M3, OIl Rubbed Bronze, Bloomington",170
MDO6219,100500T-13-FKS,"Medeco 1-1/4in Mortise Cylinder, M3, OIl Rubbed Bronze, Mobile",126
MDO6220,100500T-13-DXS,"Medeco 1-1/4in Mortise Cylinder, M3, OIl Rubbed Bronze, TRANS-Alarm",103
MDO6221,100500T-13-DHS,"Medeco 1-1/4in Mortise Cylinder, M3, OIl Rubbed Bronze, Minneapolis Lock",184
MDO6222,100500T-22-FHS,"Medeco 1-1/4in Mortise Cylinder, M3, Flat Black, Bloomington",178
MDO6223,100500T-22-FKS,"Medeco 1-1/4in Mortise Cylinder, M3, Flat Black, Mobile",159
MDO6224,100500T-22-DXS,"Medeco 1-1/4in Mortise Cylinder, M3, Flat Black, TRANS-Alarm",108
MDO6225,100500T-22-DHS,"Medeco 1-1/4in Mortise Cylinder, M3, Flat Black, Minneapolis Lock",114
MDO6226,100500T-24-FHS,"Medeco 1-1/4in Mortise Cylinder, M3, Dark Bronze, Bloomington",163
MDO6227,100500T-24-FKS,"Medeco 1-1/4in Mortise Cylinder, M3, Dark Bronze, Mobile",134
MDO6228,100500T-24-DXS,"Medeco 1-1/4in Mortise Cylinder, M3, Dark Bronze, TRANS-Alarm",180
MDO6229,100500T-24-DHS,"Medeco 1-1/4in Mortise Cylinder, M3, Dark Bronze, Minneapolis Lock",168
MDO6230,100500T-26-FHS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Chrome, Bloomington",98
MDO6231,100500T-26-FKS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Chrome, Mobile",196
MDO6232,100500T-26-DXS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Chrome, TRANS-Alarm",145
MDO6233,100500T-26-DHS,"Medeco 1-1/4in Mortise Cylinder, M3, Satin Chrome, Minneapolis Lock",85
MDO6234,100500T-BB-FHS,"Medeco 1-1/4in Mortise Cylinder, M3, Matte Black, Bloomington",108
MDO6235,100500T-BB-FKS,"Medeco 1-1/4in Mortise Cylinder, M3, Matte Black, Mobile",97
MDO6236,100500T-BB-DXS,"Medeco 1-1/4in Mortise Cylinder, M3, Matte Black, TRANS-Alarm",194
